"City, School",Rank,breakfast,breakfast id,lunch,lunch id,dinner,dinner id,dessert,dessert id,fast_food,fast_food id,coffee,coffee id,night_life,night_life id,,Grocery,Retail,night life,attractions,Outdoors,Social Places,meet,Random,recreation,games,study,Sports,Performing Arts,Movies,,,,,
,5,,,,,,,,,,,Grad Room: Second Cup,,,,,,,,Eaton Centre,,,,,,,Commuter Student Centre,,,,,,,,
"Kitchener-Waterloo, Waterloo & Laurier",1,Coras,,Subway,,Sushi 99,,Symposium Café,,McDonalds,,Tim Hortons,,Dallas,,DO NOT FILL ,,,Dallas,,,Dallas,Willias,Menchies,CIS Gym,Gaming,Home,,,,,,,,
,2,McDonalds,,Frat Burger,,Ben Thanh,,Sweet Dreams Bubble Tea,,Subway,,,,Chainsaw,,DO NOT FILL ,,,Chainsaw,,,Chainsaw,SLC,Café 22,PAC Gym,Rec center,Dana Porter Library,,,,,,,,
,3,Tim Hortons,,Student Life Centre,,The Keg,,Menchies,,Tim Hortons,,,,Morty's,,DO NOT FILL ,,,Morty's,,,Waterloo Park,,Symposium,Beach Volleyball Courts,,3rd Floor SLC,,,,,,,,
,4,Home,,Sushi 99,,The Bauer Kitchen,,,,,,,,Phils,,DO NOT FILL ,,,Phils,,,,,,,,Math 3 Building,,,,,,,,
,5,Williams,,Popeyes,,Sole Restaurant & Wine Bar,,,,,,,,,,,,,,,,,,,,,Math/ Computer Building,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DO NOT FILL IN BELOW THIS ROW,,DO NOT FILL IN BELOW THIS ROW,,YET…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingston, Queens",1,Garden Street Café,,Canadian Grilling Company,,Canadian Grilling Company,,Menchies,,Tim Hortons,,Common Grounds,,Brass,,THIS COLUMN,,,Brass,Wolf Island,Lake Ontario,Lake,The Arc,Lake,The Arc,,Own Room,,,,,,,,
,2,Lazy Risers,,Tim Hortons,,The Works,,Cold Stone Creamery,,Pita Pit,,Starbucks,,Clark Hal Pub,,OR ANY,,,Clark Hal Pub,Street Marketplace,Wolfe Island,Clark Hall Pub,Library,Summerhill,Fields,,The Arc,,,,,,,,
,3,Lazy Scholar,,Pita Pit,,Woodenheads,,Limestone City Cupcakery,,Booster Juice,,Tim Hortons,,The Nog,,COLUMNS,,,The Nog,Old Kingston Penetentiary,,Lazy Scholar,Lazy Riser,Skating Rink,,,Goodes Hall,,,,,,,,
,4,Tim Hortons,,Lazy Scholar,,Jack Astors,,,,Teriyaki,,Lazy Scholar,,Ale,,AFTER,,,Ale,,,Campus Fields,,Princess Street,,,Lake,,,,,,,,
,5,,,Booster Juice,,Dong Lai,,,,Quiznos,,,,Stages,,,,,Stages,,,The Pier,,,,,,,,,,,,,
"Scarborough, UTSC",1,Tim Hortons,,Hero Burger,,KFC,,Rex's Den,,KFC,,Tim Hortons,,Rex's Den,,,,,Rex's Den,The Valley,The Valley,Rex's Den,Meeting Place,,Meeting Place,Student Center,Science Wing,,,,,,,,
